Crash ID,County,Crash Death Count,Driver Blood Alcohol Content Test Result,Unit Death Count,Vehicle Model Year,Person Age
17045851,RANDALL,0,No Data,0,2015,19
17183445,HARRIS,0,No Data,0,2009,20
17470986,HARRIS,0,No Data,0,2012,29
17663433,HARRIS,0,No Data,0,2013,38
17663433,HARRIS,0,No Data,0,2008,16
16842943,PRESIDIO,0,0.159,0,1998,22
16843555,HARRIS,0,No Data,0,2006,40
16843555,HARRIS,0,No Data,0,2013,35
16844332,EL PASO,0,No Data,0,No Data,No Data
16844332,EL PASO,0,No Data,0,2015,57
16844332,EL PASO,0,No Data,0,2015,21
16844526,DALLAS,0,0.245,0,2013,38
16844526,DALLAS,0,0.245,0,2013,37
16844818,DALLAS,0,No Data,0,2013,31
16844818,DALLAS,0,No Data,0,2013,28
16844818,DALLAS,0,No Data,0,2001,31
16844818,DALLAS,0,No Data,0,2001,30
16847092,SAN JACINTO,0,0.147,0,2009,32
16848006,DENTON,0,No Data,0,2009,25
16848095,NUECES,0,No Data,0,2007,38
16853652,HARRISON,0,No Data,0,1998,57
16853652,HARRISON,0,No Data,0,1998,63
16853774,CAMERON,0,0.171,0,1997,55
16853774,CAMERON,0,No Data,0,2013,60
16856131,BEXAR,0,0.143,0,2014,40
16856709,BEXAR,0,0.349,0,2002,31
16856709,BEXAR,0,No Data,0,2003,50
16857144,ERATH,0,0.189,0,2012,61
16857261,MIDLAND,0,No Data,0,2007,56
16857261,MIDLAND,0,No Data,0,2014,41
16857261,MIDLAND,0,No Data,0,2014,30
16857261,MIDLAND,0,No Data,0,2014,29
16857261,MIDLAND,0,No Data,0,2014,33
16857261,MIDLAND,0,No Data,0,2014,30
16861962,DALLAS,0,No Data,0,2018,20
16915592,SAN PATRICIO,0,No Data,0,2008,64
16842831,RUSK,0,No Data,0,No Data,25
16842831,RUSK,0,No Data,0,2013,48
16843074,CHAMBERS,0,No Data,0,2001,61
16843074,CHAMBERS,0,No Data,0,2008,79
16843601,BEXAR,0,0.233,0,2012,31
16843794,HARRIS,0,0.144,0,2014,22
16843794,HARRIS,0,0.144,0,2014,21
16845455,LAMAR,0,No Data,0,2017,25
16845455,LAMAR,0,No Data,0,2017,6
16845455,LAMAR,0,No Data,0,2017,6
16847722,MAVERICK,0,No Data,0,2008,24
16847722,MAVERICK,0,No Data,0,2008,47
16847722,MAVERICK,0,No Data,0,2018,53
16847722,MAVERICK,0,No Data,0,2018,64
16847722,MAVERICK,0,No Data,0,2018,61
16848747,CALDWELL,0,No Data,0,2006,32
16848747,CALDWELL,0,No Data,0,2006,29
16848747,CALDWELL,0,No Data,0,2006,104
16848747,CALDWELL,0,No Data,0,2006,102
16848747,CALDWELL,0,No Data,0,2012,24
16849760,HARRIS,0,No Data,0,2017,24
16850736,TARRANT,0,0.22,0,2009,33
16851158,TARRANT,0,0.16,0,2016,23
16851158,TARRANT,0,0.16,0,2016,50
16851158,TARRANT,0,No Data,0,No Data,No Data
16851720,LAMAR,0,No Data,0,2003,37
16852101,ECTOR,0,No Data,0,2010,29
16852377,MCLENNAN,0,No Data,0,2008,26
16856942,TRAVIS,0,No Data,0,2016,59
16856942,TRAVIS,0,0.135,0,1991,49
