Crash ID,Crash Time,Day of Week
16866950,333,SUNDAY
16867034,1905,SUNDAY
16870233,349,SUNDAY
16871659,241,SUNDAY
16873692,620,SUNDAY
16875663,338,SUNDAY
16876415,252,SUNDAY
16937699,150,SUNDAY
16986697,56,SUNDAY
16987078,30,SUNDAY
16845525,29,MONDAY
16846423,338,MONDAY
16847640,1750,MONDAY
16847641,1810,MONDAY
16847704,2035,MONDAY
16847802,253,MONDAY
16847820,2215,MONDAY
16848453,200,MONDAY
16848571,135,MONDAY
16848583,950,MONDAY
16849139,1155,MONDAY
16849393,1636,MONDAY
16849458,1530,MONDAY
16849518,158,MONDAY
16850184,600,MONDAY
16850275,1330,MONDAY
16850296,2307,MONDAY
16850787,2106,MONDAY
16850977,2302,MONDAY
16851014,830,MONDAY
16851229,1708,MONDAY
16851595,46,MONDAY
16852356,25,MONDAY
16852362,25,MONDAY
16853072,1855,MONDAY
16853695,44,MONDAY
16854219,2145,MONDAY
16855263,1820,MONDAY
16855588,2351,MONDAY
16855620,149,MONDAY
16856998,2210,MONDAY
16859365,11,MONDAY
16859389,2334,MONDAY
16863614,607,MONDAY
16864753,137,MONDAY
16865401,2140,MONDAY
16875896,1614,MONDAY
16923080,1814,MONDAY
16935441,134,MONDAY
17057951,57,MONDAY
16847761,2356,TUESDAY
16847796,51,TUESDAY
16849219,224,TUESDAY
16849404,2307,TUESDAY
16849683,1845,TUESDAY
16849967,1953,TUESDAY
16850193,124,TUESDAY
16850632,219,TUESDAY
16850683,117,TUESDAY
16851344,2357,TUESDAY
16851899,7,TUESDAY
16852398,1820,TUESDAY
16852575,2047,TUESDAY
16852671,2311,TUESDAY
16853032,2148,TUESDAY
16853139,1730,TUESDAY
16853462,2347,TUESDAY
16854660,2032,TUESDAY
16854668,2135,TUESDAY
16854754,1947,TUESDAY
16854759,2014,TUESDAY
16855996,2025,TUESDAY
16856382,2300,TUESDAY
16856747,2325,TUESDAY
16856965,1030,TUESDAY
16857591,138,TUESDAY
16857863,1934,TUESDAY
16858964,2155,TUESDAY
16860319,2217,TUESDAY
16860846,2328,TUESDAY
16861628,2050,TUESDAY
16861756,144,TUESDAY
16863418,8,TUESDAY
16864559,140,TUESDAY
16867814,2310,TUESDAY
16869181,2000,TUESDAY
16870353,2,TUESDAY
16871637,1846,TUESDAY
16876869,1800,TUESDAY
16987089,1715,TUESDAY
17568092,1605,TUESDAY
16849894,56,WEDNESDAY
16850511,515,WEDNESDAY
16851769,2053,WEDNESDAY
16851916,2040,WEDNESDAY
16852477,1724,WEDNESDAY
16852822,1656,WEDNESDAY
16853060,1950,WEDNESDAY
16853127,1740,WEDNESDAY
16853317,1759,WEDNESDAY
16853584,2215,WEDNESDAY
16853765,231,WEDNESDAY
16853812,1935,WEDNESDAY
16854073,1653,WEDNESDAY
16854153,1527,WEDNESDAY
16854611,2033,WEDNESDAY
16854771,327,WEDNESDAY
16854838,1501,WEDNESDAY
16854903,2255,WEDNESDAY
16855374,2030,WEDNESDAY
16856561,1836,WEDNESDAY
16857831,2103,WEDNESDAY
16858080,1710,WEDNESDAY
16858129,1820,WEDNESDAY
16858290,2225,WEDNESDAY
16858437,1925,WEDNESDAY
16858762,152,WEDNESDAY
16861022,2332,WEDNESDAY
16861056,1748,WEDNESDAY
16862798,535,WEDNESDAY
16865638,2238,WEDNESDAY
16865757,2331,WEDNESDAY
16867017,1652,WEDNESDAY
16867647,2200,WEDNESDAY
16873933,2149,WEDNESDAY
16874558,45,WEDNESDAY
16851671,37,THURSDAY
16851841,302,THURSDAY
16852866,21,THURSDAY
16853295,1938,THURSDAY
16853428,1913,THURSDAY
16853450,200,THURSDAY
16853607,2110,THURSDAY
16854904,17,THURSDAY
16854906,310,THURSDAY
16854971,1735,THURSDAY
16854973,1611,THURSDAY
16854974,1721,THURSDAY
16854977,1903,THURSDAY
16855009,2047,THURSDAY
16856151,315,THURSDAY
16856152,158,THURSDAY
16856478,1749,THURSDAY
16856564,1935,THURSDAY
16857420,2327,THURSDAY
16858309,2231,THURSDAY
16858381,2235,THURSDAY
16858673,2132,THURSDAY
16858915,1854,THURSDAY
16859229,2246,THURSDAY
16859612,2230,THURSDAY
16859678,2132,THURSDAY
16859899,848,THURSDAY
16860260,226,THURSDAY
16860383,2122,THURSDAY
16861001,2330,THURSDAY
16862126,1413,THURSDAY
16862438,2252,THURSDAY
16862630,1130,THURSDAY
16862870,39,THURSDAY
16863649,2219,THURSDAY
16863933,2020,THURSDAY
16864043,433,THURSDAY
16864137,45,THURSDAY
16864453,303,THURSDAY
16866871,1023,THURSDAY
16868089,57,THURSDAY
16868709,2340,THURSDAY
16868974,2225,THURSDAY
16870711,2015,THURSDAY
16873462,500,THURSDAY
16922603,150,THURSDAY
16927710,2050,THURSDAY
